rank,city,state,dox,ground,citizen,start_pct,start_rank
314,Gorakhpur,Uttar Pradesh,0.304093567,0.547791667,0.346590434,37.77671521,314
235,Greater Chennai,Tamil Nadu,0.461345029,0.565821429,0.362757219,45.7887786,235
22,Greater Hyderabad Municipal Corporation,Telangana,0.815438596,0.856006494,0.738998862,80.26486503,22
29,Greater Mumbai,Maharashtra,0.914533442,0.825071429,0.499125499,76.75455559,29
156,Gudivada,Andhra Pradesh,0.487660819,0.784285714,0.431762676,54.50475999,156
266,Guna,Madhya Pradesh,0.355730994,0.57897619,0.438318623,43.63185817,266
93,Guntakal,Andhra Pradesh,0.634035088,0.753714286,0.511746148,62.72682055,93
118,Guntur,Andhra Pradesh,0.708011696,0.628267857,0.416178851,60.05258828,118
112,Gurugram,Haryana,0.655146199,0.695238095,0.461894101,60.71935436,112
306,Guruvayur,Kerala,0.222612086,0.604,0.462012808,38.97792811,306
134,Guwahati,Assam,0.644483892,0.546136905,0.525660923,58.42502546,134
27,Gwalior,Madhya Pradesh,0.863015984,0.617126374,0.766229115,77.25075208,27
272,Hajipur,Bihar,0.322807018,0.494357143,0.513513633,42.29065338,272
395,Haldwani-cum-Kathgodam,Uttarakhand,0.072222222,0.495071429,0.406733988,27.82880536,395
332,Hanumangarh,Rajasthan,0.215497076,0.514642857,0.448618636,36.02199893,332
424,Hapur,Uttar Pradesh,0.033333333,0.450625,0.357479506,23.49001017,424
431,Hardoi,Uttar Pradesh,0.130994152,0.093785714,0.353817827,18.8539145,431
244,Haridwar,Uttarakhand,0.362573099,0.574639286,0.479063478,45.05367595,244
227,Hassan,Karnataka,0.41251462,0.531285714,0.481962398,46.30417269,227
408,Hathras,Uttar Pradesh,0.150350877,0.324535714,0.377384379,26.20071369,408
91,Hazaribag,Jharkhand,0.657309942,0.587285714,0.639599007,63.44906045,91
367,Hindaun,Rajasthan,0.140701754,0.503714286,0.413822026,31.33909686,367
160,Hindupur,Andhra Pradesh,0.549005848,0.62397619,0.466857381,54.31038934,160
355,Hinganghat,Maharashtra,0.153567251,0.442214286,0.495703346,32.83698383,355
291,Hisar,Haryana,0.286549708,0.522096429,0.477245345,40.26450794,291
317,Hosapete,Karnataka,0.268421053,0.512125,0.423277409,37.58039466,317
59,Hoshangabad,Madhya Pradesh,0.757251462,0.518428571,0.704891401,68.1837721,59
323,Hoshiarpur,Punjab,0.242690058,0.573714286,0.386196932,36.84981772,323
82,Hosur,Tamil Nadu,0.682066277,0.760214286,0.515339664,65.15852954,82
199,Hubli-Dharwad,Karnataka,0.541520468,0.499,0.435071591,49.89556879,199
141,Ichalkaranji,Maharashtra,0.541637427,0.767402778,0.436507467,56.65397768,141
122,Imphal,Manipur,0.589238224,0.692452381,0.526408428,59.61928245,122
1,Indore,Madhya Pradesh,0.972222222,0.871556319,0.828233524,90.38591369,1
216,Itanagar,Arunachal Pradesh,0.515146199,0.502714286,0.397380437,47.67084922,216
21,Jabalpur,Madhya Pradesh,0.941403509,0.712,0.676785548,80.46672435,21
232,Jagdalpur,Chattisgarh,0.38502924,0.504535714,0.53799146,46.07945245,232
215,Jaipur,Rajasthan,0.51607118,0.422699675,0.463798254,47.7046426,215
233,Jalandhar,Punjab,0.561520468,0.429279762,0.334159962,46.02521397,233
162,Jalgaon,Maharashtra,0.593567251,0.568107143,0.440999482,54.14318933,162
368,Jalna,Maharashtra,0.151520468,0.510139286,0.391285607,31.31047142,368
414,Jamalpur,Bihar,0.044444444,0.398071429,0.450949355,25.48026636,414
251,Jammu,Jammu and Kashmir,0.385614035,0.539267857,0.457815225,44.56878475,251
35,Jamnagar,Gujarat,0.758070175,0.828017857,0.678091353,75.15634489,35
64,Jamshedpur,Jharkhand,0.637953837,0.667821429,0.735367903,67.46449548,64
246,Jaunpur,Uttar Pradesh,0.305438596,0.724571429,0.428392076,44.71078483,246
307,Jehanabad,Bihar,0.340935673,0.403714286,0.442638018,38.71410298,307
39,Jetpur Navagadh,Gujarat,0.854093567,0.628321429,0.654909918,73.78954378,39
402,Jhalawar,Rajasthan,0.094210526,0.380142857,0.438506957,26.89825381,402
166,Jhansi,Uttar Pradesh,0.585362519,0.41745,0.560476444,53.59185668,166
292,Jhunjhunu,Rajasthan,0.255263158,0.591958333,0.464947535,40.23422649,292
265,Jind,Haryana,0.331754386,0.566154762,0.487294632,43.70165538,265
209,Jodhpur,Rajasthan,0.401461988,0.691785714,0.437815439,48.49489548,209
52,Junagadh,Gujarat,0.729473684,0.681406746,0.688955471,70.53014856,52
154,Kadapa,Andhra Pradesh,0.664814815,0.542492857,0.377977268,54.81830614,154
282,Kaithal,Haryana,0.341929825,0.530428571,0.425521562,41.41320326,282
43,Kakinada,Andhra Pradesh,0.720943345,0.834632143,0.663341283,73.20849259,43
294,Kalaburagi,Karnataka,0.48748538,0.296964286,0.355528279,40.02679762,294
34,Kalol,Gujarat,0.846932475,0.784845238,0.584371603,75.26424042,34
234,Kalyan-Dombivli,Maharashtra,0.485204678,0.428075,0.44732628,45.95587391,234
127,Kancheepuram,Tamil Nadu,0.617443609,0.63275,0.516600245,59.10171976,127
366,Kannur,Kerala,0.071345029,0.690125,0.365263409,31.42155358,366
175,Kanpur,Uttar Pradesh,0.662865497,0.315381494,0.498344818,52.66382926,175
110,Karaikkudi,Tamil Nadu,0.617426901,0.702142857,0.516785523,60.84134766,110
201,Karimnagar,Telangana,0.48625731,0.520464286,0.481814209,49.34761237,201
65,Karnal,Haryana,0.742163743,0.698017857,0.552080472,67.41022902,65
409,Kasganj,Uttar Pradesh,0.177192982,0.329571429,0.330617548,26.13149636,409
256,Kashipur,Uttarakhand,0.407076023,0.467642857,0.471177192,44.14480822,256
430,Katihar,Bihar,0.035672515,0.234303571,0.388813433,19.12725544,430
159,Kavali,Andhra Pradesh,0.514502924,0.668071429,0.482507247,54.32963472,159
416,Kavaratti,Lakshadweep,0,0.476142857,0.436238542,24.99072769,416
236,Khammam,Telangana,0.387706971,0.602732143,0.438960871,45.6839434,236
73,Khandwa,Madhya Pradesh,0.679285519,0.636410714,0.648639493,65.937301,73
400,Khanna,Punjab,0.119005848,0.487035714,0.316387493,27.0227808,400
17,Khargone,Madhya Pradesh,0.916666667,0.8114,0.67989147,81.93174412,17
425,Khurja,Uttar Pradesh,0.060701754,0.2825,0.455408651,23.45633846,425
257,Kishanganj,Bihar,0.325730994,0.5476,0.526553481,44.14449916,257
419,Kishangarh,Rajasthan,0.125438596,0.319535714,0.373499983,24.83812916,419
271,Kochi,Kerala,0.298947368,0.674589286,0.415415063,42.7798156,271
208,Kohima,Nagaland,0.462982456,0.556452381,0.458630793,48.50444384,208
373,Kolar,Karnataka,0.219122807,0.339357143,0.415635445,30.81351824,373
177,Kolhapur,Maharashtra,0.576783626,0.527892857,0.442253985,52.42020415,177
365,Kollam,Kerala,0.101052632,0.598321429,0.397353319,31.42600374,365
77,Korba,Chattisgarh,0.607017544,0.744214286,0.65830608,65.67032903,77
341,Kota,Rajasthan,0.30374269,0.408255952,0.381586563,35.32241674,341
254,Kozhikode,Kerala,0.448653133,0.477821429,0.407898836,44.37189179,254
158,Kulgaon Badlapur,Maharashtra,0.567602339,0.424380952,0.610990958,54.4813578,158
259,Kullu,Himachal Pradesh,0.298070175,0.662892857,0.471600853,44.13350489,259
37,Kumbakonam,Tamil Nadu,0.749179327,0.864535714,0.632073505,74.28866772,37
176,Kurnool,Andhra Pradesh,0.580233918,0.484517857,0.478111917,52.56683025,176
410,Lakhimpur,Uttar Pradesh,0.184502924,0.216071429,0.412016537,26.06491342,410
320,Lalitpur,Uttar Pradesh,0.270175439,0.435857143,0.467176089,37.069606,320
318,Latur,Maharashtra,0.363391813,0.399775794,0.374155816,37.57170092,318
100,Leh,Jammu and Kashmir,0.598362573,0.610428571,0.654694284,61.82785858,100
331,Loni,Uttar Pradesh,0.243918129,0.472696429,0.443270177,36.09183184,331
269,Lucknow,Uttar Pradesh,0.492923977,0.403992857,0.356890646,42.98811977,269
140,Ludhiana,Punjab,0.609590643,0.606917857,0.477537292,56.93064412,140
